,x,latent
0,0.9655172413793104,Flower
1,0.9830508474576272,Flower
2,0.9473684210526316,Flower
3,0.9830508474576272,Flower
4,0.9285714285714286,Flower
5,0.9830508474576272,Flower
6,0.9830508474576272,Flower
7,0.9473684210526316,Flower
8,0.9830508474576272,Flower
9,0.9655172413793104,Flower
10,0.9655172413793104,Flower
11,0.9473684210526316,Flower
12,0.9830508474576272,Flower
13,0.9473684210526316,Flower
14,0.9473684210526316,Flower
15,0.9830508474576272,Flower
16,0.9830508474576272,Flower
17,0.8235294117647058,Flower
18,0.9830508474576272,Flower
19,0.9473684210526316,Flower
20,0.9655172413793104,Flower
21,0.9090909090909091,Flower
22,0.9830508474576272,Flower
23,0.75,Flower
24,0.9830508474576272,Flower
25,0.9830508474576272,Flower
26,0.9090909090909091,Flower
27,0.9655172413793104,Flower
28,0.8235294117647058,Flower
29,0.9473684210526316,Flower
30,0.9090909090909091,Flower
31,0.9285714285714286,Flower
32,0.9655172413793104,Flower
33,0.9830508474576272,Flower
34,0.9830508474576272,Flower
35,0.9655172413793104,Flower
36,0.9830508474576272,Flower
37,0.9655172413793104,Flower
38,0.9655172413793104,Flower
39,0.8888888888888888,Flower
40,0.9830508474576272,Flower
41,0.9473684210526316,Flower
42,0.9830508474576272,Flower
43,0.9830508474576272,Flower
44,0.9473684210526316,Flower
45,0.8461538461538461,Flower
46,0.9655172413793104,Flower
47,0.9655172413793104,Flower
48,0.9655172413793104,Flower
49,0.9830508474576272,Flower
50,0.9830508474576272,Flower
51,0.9090909090909091,Flower
52,0.9830508474576272,Flower
53,0.9830508474576272,Flower
54,0.9830508474576272,Flower
55,0.9473684210526316,Flower
56,0.9830508474576272,Flower
57,0.9830508474576272,Flower
58,0.9830508474576272,Flower
59,0.9830508474576272,Flower
60,0.9830508474576272,Flower
61,0.9655172413793104,Flower
62,0.9830508474576272,Flower
63,0.8679245283018868,Flower
64,0.9473684210526316,Flower
65,0.9830508474576272,Flower
66,0.9830508474576272,Flower
67,0.9830508474576272,Flower
68,0.9473684210526316,Flower
69,0.7755102040816326,Flower
70,0.9473684210526316,Flower
71,0.9830508474576272,Flower
72,0.9655172413793104,Flower
73,0.9655172413793104,Flower
74,0.8679245283018868,Flower
75,0.8679245283018868,Flower
76,0.9830508474576272,Flower
77,0.9090909090909091,Flower
78,0.9830508474576272,Flower
79,0.9285714285714286,Flower
80,0.9830508474576272,Flower
81,0.9830508474576272,Flower
82,0.9830508474576272,Flower
83,0.9655172413793104,Flower
84,0.9830508474576272,Flower
85,0.9655172413793104,Flower
86,0.9655172413793104,Flower
87,0.9655172413793104,Flower
88,0.6956521739130435,Flower
89,0.7755102040816326,Flower
90,0.9830508474576272,Flower
91,0.9090909090909091,Flower
92,0.9655172413793104,Flower
93,0.8679245283018868,Flower
94,0.9655172413793104,Flower
95,0.9285714285714286,Flower
96,0.9285714285714286,Flower
97,0.9830508474576272,Flower
98,0.9285714285714286,Flower
99,0.8,Flower
100,0.9655172413793104,Flower
101,0.8888888888888888,Flower
102,0.9473684210526316,Flower
103,0.9285714285714286,Flower
104,0.8888888888888888,Flower
105,0.9090909090909091,Flower
